Country,City,CO AQI Value,CO AQI Category
United States of America,Durango,133,Unhealthy for Sensitive Groups
Malaysia,Miri,67,Moderate
Democratic Republic of the Congo,Kasongo Lunda,51,Moderate
South Africa,Boksburg,49,Good
South Africa,Alberton,41,Good
South Africa,Soweto,36,Good
Democratic Republic of the Congo,Bulungu,35,Good
South Africa,Balfour,31,Good
China,Chengdu,28,Good
Chile,Lampa,28,Good
Republic of Korea,Seoul,27,Good
Angola,Caxito,23,Good
Democratic Republic of the Congo,Tshikapa,23,Good
South Africa,Vredefort,22,Good
South Africa,Tembisa,22,Good
China,Qingdao,21,Good
Democratic Republic of the Congo,Kinshasa,21,Good
Russian Federation,Tynda,21,Good
South Africa,Verwoerdburg,21,Good
South Africa,Pretoria,20,Good
Chile,Buin,20,Good
China,Chongqing,19,Good
South Africa,Johannesburg,19,Good
China,Xian,19,Good
Chile,Talagante,18,Good
Chile,Llaillay,18,Good
South Africa,Rustenburg,17,Good
South Africa,Cullinan,16,Good
China,Nanlong,16,Good
South Africa,Vereeniging,16,Good
Nigeria,Warri,16,Good
Democratic Republic of the Congo,Kikwit,16,Good
Brazil,Sao Vicente,16,Good
South Africa,Brakpan,16,Good
Brazil,Suzano,16,Good
South Africa,Vanderbijlpark,15,Good
South Africa,Mabopane,15,Good
South Africa,Midrand,15,Good
Democratic Republic of the Congo,Mbuji Mayi,15,Good
Russian Federation,Elban,15,Good
South Africa,Temba,15,Good
Indonesia,Leuwiliang,15,Good
South Africa,Benoni,15,Good
Indonesia,Curug,15,Good
Chile,San Bernardo,15,Good
Chile,El Monte,15,Good
Chile,Quillota,14,Good
South Africa,Brits,14,Good
Democratic Republic of the Congo,Gandajika,14,Good
Chile,San Felipe,14,Good
